Exercise Name,Exercise Type,Target Muscle Groups,Movement Pattern,Exercise Difficulty/Intensity,Equipment Required,Exercise Form and Technique,Exercise Modifications and Variations,Safety Considerations,Primary Goals,Exercise Dynamics,Exercise Sequence,Exercise Focus,Agonist Muscles,Synergist Muscles,Antagonist Muscles,Stabilizer Muscles,name,category,muscle_group,equipment,difficulty,instructions,calories_per_minute
Donkey Kick on Smith Machine,Strength,Glutes,Kick,Intermediate,Smith Machine,"Perform a donkey kick on a Smith machine, focusing on your glutes.",Use different weights for variation.,Keep your core engaged and back straight.,Builds glute strength.,Controlled.,Main workout,Strength,Glutes,Hamstrings,Hip Flexors,"Core, Lower Back",donkey kick on smith machine,strength,glutes,smith machine,intermediate,"Perform a donkey kick on a Smith machine, focusing on your glutes.",6.0
Glute Bridge on Bench,Strength,Glutes,Bridge,Intermediate,Bench,"Perform a glute bridge on a bench, focusing on your glutes.",Use different weights for variation.,Keep your core engaged and back straight.,Builds glute strength.,Controlled.,Main workout,Strength,Glutes,Hamstrings,Hip Flexors,"Core, Lower Back",glute bridge on bench,strength,glutes,bench,intermediate,"Perform a glute bridge on a bench, focusing on your glutes.",6.0
Stationary Bike Run,Cardio,Legs,Run,Beginner,Stationary Bike,"Perform a running motion on a stationary bike, focusing on your legs.",Increase speed for more intensity.,Keep your core engaged and back straight.,Improves cardiovascular endurance.,Dynamic.,Main workout,Cardio,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back",stationary bike run,cardio,legs,stationary bike,beginner,"Perform a running motion on a stationary bike, focusing on your legs.",8.0
Donkey Kick on Leg Extension Machine,Strength,Glutes,Kick,Intermediate,Leg Extension Machine,"Perform a donkey kick on a leg extension machine, focusing on your glutes.",Use different weights for variation.,Keep your core engaged and back straight.,Builds glute strength.,Controlled.,Main workout,Strength,Glutes,Hamstrings,Hip Flexors,"Core, Lower Back",donkey kick on leg extension machine,strength,glutes,leg extension machine,intermediate,"Perform a donkey kick on a leg extension machine, focusing on your glutes.",6.0
Hip Thrust on The Leg Extension Machine,Strength,Glutes,Thrust,Intermediate,Leg Extension Machine,"Perform a hip thrust on a leg extension machine, focusing on your glutes.",Use different weights for variation.,Keep your core engaged and back straight.,Builds glute strength.,Controlled.,Main workout,Strength,Glutes,Hamstrings,Hip Flexors,"Core, Lower Back",hip thrust on the leg extension machine,strength,glutes,leg extension machine,intermediate,"Perform a hip thrust on a leg extension machine, focusing on your glutes.",6.0
Hip Thrust Machine,Strength,Glutes,Thrust,Intermediate,Hip Thrust Machine,"Perform a hip thrust on a hip thrust machine, focusing on your glutes.",Use different weights for variation.,Keep your core engaged and back straight.,Builds glute strength.,Controlled.,Main workout,Strength,Glutes,Hamstrings,Hip Flexors,"Core, Lower Back",hip thrust machine,strength,glutes,hip thrust machine,intermediate,"Perform a hip thrust on a hip thrust machine, focusing on your glutes.",6.0
Squat on The Abductor Machine,Strength,Legs,Squat,Intermediate,Abductor Machine,"Perform a squat on an abductor machine, focusing on your legs.",Use different weights for variation.,Keep your core engaged and back straight.,Builds leg strength.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back",squat on the abductor machine,strength,legs,abductor machine,intermediate,"Perform a squat on an abductor machine, focusing on your legs.",6.0
Arm Circles,Warm-Up,Shoulders,Circle,Beginner,,Perform arm circles to warm up your shoulder muscles.,Increase speed for more intensity.,Keep your core engaged and back straight.,Warms up shoulder muscles.,Dynamic.,Warm-up,Stability,Deltoids,,Latissimus Dorsi,"Core, Scapular Stabilizers",arm circles,warm-up,shoulders,nan,beginner,Perform arm circles to warm up your shoulder muscles.,6.0
Dumbbell Lateral Raise,Strength,Shoulders,Raise,Intermediate,Dumbbell,"Perform lateral raises with dumbbells, focusing on your shoulders.",Use different weights for variation.,Keep your core engaged and back straight.,Builds shoulder strength and stability.,Controlled.,Main workout,Strength,Deltoids,,Latissimus Dorsi,"Core, Scapular Stabilizers",dumbbell lateral raise,strength,shoulders,dumbbell,intermediate,"Perform lateral raises with dumbbells, focusing on your shoulders.",6.0
Dumbbell Shoulder Press,Strength,Shoulders,Press,Intermediate,Dumbbell,"Perform a shoulder press with dumbbells, focusing on your shoulders.",Use different weights for variation.,Keep your core engaged and back straight.,Builds shoulder strength.,Controlled.,Main workout,Strength,Deltoids,"Triceps, Upper Chest",Latissimus Dorsi,"Core, Scapular Stabilizers",dumbbell shoulder press,strength,shoulders,dumbbell,intermediate,"Perform a shoulder press with dumbbells, focusing on your shoulders.",6.0
Smith Machine Behind Neck Press,Strength,Shoulders,Press,Advanced,Smith Machine,"Perform a behind-the-neck press on a Smith machine, focusing on your shoulders.",Use different weights for variation.,Keep your core engaged and back straight.,Builds shoulder strength.,Controlled.,Main workout,Strength,Deltoids,"Triceps, Upper Chest",Latissimus Dorsi,"Core, Scapular Stabilizers",smith machine behind neck press,strength,shoulders,smith machine,advanced,"Perform a behind-the-neck press on a Smith machine, focusing on your shoulders.",6.0
Smith Machine Shoulder Press,Strength,Shoulders,Press,Intermediate,Smith Machine,"Perform a shoulder press on a Smith machine, focusing on your shoulders.",Use different weights for variation.,Keep your core engaged and back straight.,Builds shoulder strength.,Controlled.,Main workout,Strength,Deltoids,"Triceps, Upper Chest",Latissimus Dorsi,"Core, Scapular Stabilizers",smith machine shoulder press,strength,shoulders,smith machine,intermediate,"Perform a shoulder press on a Smith machine, focusing on your shoulders.",6.0
Cable Lateral Raise,Strength,Shoulders,Raise,Intermediate,Cable Machine,"Perform lateral raises with a cable machine, focusing on your shoulders.",Use different weights for variation.,Keep your core engaged and back straight.,Builds shoulder strength and stability.,Controlled.,Main workout,Strength,Deltoids,,Latissimus Dorsi,"Core, Scapular Stabilizers",cable lateral raise,strength,shoulders,cable machine,intermediate,"Perform lateral raises with a cable machine, focusing on your shoulders.",6.0
45 Degree Incline Row,Strength,Back,Row,Intermediate,"Bench, Dumbbell","Perform a row at a 45-degree incline, focusing on your back.",Use different weights for variation.,Keep your core engaged and back straight.,Builds back strength.,Controlled.,Main workout,Strength,Latissimus Dorsi,"Biceps, Forearms",Pectorals,"Core, Lower Back",45 degree incline row,strength,back,"bench, dumbbell",intermediate,"Perform a row at a 45-degree incline, focusing on your back.",6.0
Lever Shoulder Press,Strength,Shoulders,Press,Intermediate,Lever Machine,"Perform a shoulder press with a lever machine, focusing on your shoulders.",Use different weights for variation.,Keep your core engaged and back straight.,Builds shoulder strength.,Controlled.,Main workout,Strength,Deltoids,"Triceps, Upper Chest",Latissimus Dorsi,"Core, Scapular Stabilizers",lever shoulder press,strength,shoulders,lever machine,intermediate,"Perform a shoulder press with a lever machine, focusing on your shoulders.",6.0
Standing Close Grip Military Press,Strength,Shoulders,Press,Intermediate,Barbell,"Perform a close grip military press while standing, focusing on your shoulders.",Use different weights for variation.,Keep your core engaged and back straight.,Builds shoulder strength.,Controlled.,Main workout,Strength,Deltoids,"Triceps, Upper Chest",Latissimus Dorsi,"Core, Scapular Stabilizers",standing close grip military press,strength,shoulders,barbell,intermediate,"Perform a close grip military press while standing, focusing on your shoulders.",6.0
Barbell Military Press (Overhead press),Strength,Shoulders,Press,Intermediate,Barbell,"Perform a military press with a barbell, focusing on your shoulders.",Use different weights for variation.,Keep your core engaged and back straight.,Builds shoulder strength.,Controlled.,Main workout,Strength,Deltoids,"Triceps, Upper Chest",Latissimus Dorsi,"Core, Scapular Stabilizers",barbell military press (overhead press),strength,shoulders,barbell,intermediate,"Perform a military press with a barbell, focusing on your shoulders.",6.0
Diagonal Neck Stretch,Flexibility,Neck,Stretch,Beginner,,Stretch your neck diagonally to improve flexibility.,Increase stretch time for more intensity.,Keep your core engaged.,Improves neck flexibility.,Static.,Cool down,Stability,Neck Flexors,,Neck Extensors,"Core, Scapular Stabilizers",diagonal neck stretch,flexibility,neck,nan,beginner,Stretch your neck diagonally to improve flexibility.,3.0
Neck Rotation Stretch,Flexibility,Neck,Stretch,Beginner,,Rotate your neck to improve flexibility.,Increase hold time for more intensity.,Keep your core engaged.,Improves neck flexibility.,Controlled.,Cool down,Stability,Neck Flexors,,Neck Extensors,"Core, Scapular Stabilizers",neck rotation stretch,flexibility,neck,nan,beginner,Rotate your neck to improve flexibility.,3.0
Neck Flexion Stretch,Flexibility,Neck,Stretch,Beginner,,Flex your neck forward to improve flexibility.,Increase stretch time for more intensity.,Keep your core engaged.,Improves neck flexibility.,Static.,Cool down,Stability,Neck Flexors,,Neck Extensors,"Core, Scapular Stabilizers",neck flexion stretch,flexibility,neck,nan,beginner,Flex your neck forward to improve flexibility.,3.0
Neck Extension Stretch,Flexibility,Neck,Stretch,Beginner,,Extend your neck backward to improve flexibility.,Increase stretch time for more intensity.,Keep your core engaged.,Improves neck flexibility.,Static.,Cool down,Stability,Neck Extensors,,Neck Flexors,"Core, Scapular Stabilizers",neck extension stretch,flexibility,neck,nan,beginner,Extend your neck backward to improve flexibility.,3.0
Walk Wave Machine,Cardio,Legs,Walk,Beginner,Wave Machine,Perform a walking motion on a wave machine to improve cardiovascular endurance.,Increase speed for more intensity.,Keep your core engaged and back straight.,Improves cardiovascular endurance.,Dynamic.,Main workout,Cardio,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back",walk wave machine,cardio,legs,wave machine,beginner,Perform a walking motion on a wave machine to improve cardiovascular endurance.,8.0
Barbell Single Leg Hip Thrust,Strength,Glutes,Thrust,Intermediate,Barbell,"Perform a hip thrust with one leg using a barbell, focusing on your glutes.",Use different weights for variation.,Keep your core engaged and back straight.,Builds glute strength.,Controlled.,Main workout,Strength,Glutes,Hamstrings,Hip Flexors,"Core, Lower Back",barbell single leg hip thrust,strength,glutes,barbell,intermediate,"Perform a hip thrust with one leg using a barbell, focusing on your glutes.",6.0
Incline Dumbbell Hammer Row,Strength,Back,Row,Intermediate,Dumbbell,"Perform a hammer row at an incline, focusing on your back.",Use different weights for variation.,Keep your core engaged and back straight.,Builds back strength.,Controlled.,Main workout,Strength,Latissimus Dorsi,"Biceps, Forearms",Pectorals,"Core, Lower Back",incline dumbbell hammer row,strength,back,dumbbell,intermediate,"Perform a hammer row at an incline, focusing on your back.",6.0
Pelvic Tilt,Strength,Core,Tilt,Beginner,,Perform a pelvic tilt to strengthen the core muscles.,Increase hold time for more intensity.,Keep your core engaged and back flat.,Builds core strength.,Controlled.,Main workout,Stability,Rectus Abdominis,,Erector Spinae,"Core, Lower Back",pelvic tilt,strength,core,nan,beginner,Perform a pelvic tilt to strengthen the core muscles.,6.0
Glute Bridge One Leg on Bench,Strength,Glutes,Bridge,Intermediate,Bench,"Perform a glute bridge with one leg on a bench, focusing on your glutes.",Use different weights for variation.,Keep your core engaged and back straight.,Builds glute strength.,Controlled.,Main workout,Strength,Glutes,Hamstrings,Hip Flexors,"Core, Lower Back",glute bridge one leg on bench,strength,glutes,bench,intermediate,"Perform a glute bridge with one leg on a bench, focusing on your glutes.",6.0
Unilateral Bridge,Strength,Glutes,Bridge,Intermediate,,"Perform a unilateral bridge, focusing on one side of your glutes at a time.",Use different weights for variation.,Keep your core engaged and back straight.,Builds glute strength.,Controlled.,Main workout,Strength,Glutes,Hamstrings,Hip Flexors,"Core, Lower Back",unilateral bridge,strength,glutes,nan,intermediate,"Perform a unilateral bridge, focusing on one side of your glutes at a time.",6.0
Side Bridge Hip Abduction,Strength,Hips,Abduction,Intermediate,,"Perform a hip abduction while in a side bridge position, focusing on your hips.",Increase hold time for more intensity.,Keep your core engaged and back straight.,Builds hip strength.,Controlled.,Main workout,Strength,Gluteus Medius,,Adductors,"Core, Lower Back",side bridge hip abduction,strength,hips,nan,intermediate,"Perform a hip abduction while in a side bridge position, focusing on your hips.",6.0
Straight Leg Kickback,Strength,Glutes,Kick,Intermediate,,"Perform a straight leg kickback, focusing on your glutes.",Increase speed for more intensity.,Keep your core engaged and back straight.,Builds glute strength.,Controlled.,Main workout,Strength,Glutes,Hamstrings,Hip Flexors,"Core, Lower Back",straight leg kickback,strength,glutes,nan,intermediate,"Perform a straight leg kickback, focusing on your glutes.",6.0
Hands Bike,Cardio,Arms,Bike,Beginner,Hands Bike,Use a hands bike to improve cardiovascular endurance and arm strength.,Increase speed for more intensity.,Keep your core engaged and back straight.,Improves cardiovascular endurance and arm strength.,Dynamic.,Main workout,Cardio,Deltoids,"Triceps, Pectorals",Latissimus Dorsi,"Core, Scapular Stabilizers",hands bike,cardio,arms,hands bike,beginner,Use a hands bike to improve cardiovascular endurance and arm strength.,8.0
Seated Cable Chest Press,Strength,Chest,Press,Intermediate,Cable Machine,"Perform a chest press with a cable machine while seated, focusing on your chest.",Use different weights for variation.,Keep your core engaged and back straight.,Builds chest strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers",seated cable chest press,strength,chest,cable machine,intermediate,"Perform a chest press with a cable machine while seated, focusing on your chest.",6.0
Seated Cable Close Grip Chest Press,Strength,Chest,Press,Intermediate,Cable Machine,"Perform a close grip chest press with a cable machine while seated, focusing on your chest.",Use different weights for variation.,Keep your core engaged and back straight.,Builds chest strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers",seated cable close grip chest press,strength,chest,cable machine,intermediate,"Perform a close grip chest press with a cable machine while seated, focusing on your chest.",6.0
Cable Half Kneeling Pallof Press,Strength,Core,Press,Intermediate,Cable Machine,"Perform a Pallof press with a cable machine while in a half kneeling position, focusing on your core.",Use different weights for variation.,Keep your core engaged and back straight.,Builds core strength and stability.,Controlled.,Main workout,Strength,Obliques,Rectus Abdominis,Opposing Obliques,"Core, Lower Back",cable half kneeling pallof press,strength,core,cable machine,intermediate,"Perform a Pallof press with a cable machine while in a half kneeling position, focusing on your core.",6.0
Squat Tuck Jump,Strength,Legs,Jump,Intermediate,,"Perform a tuck jump from a squat position, focusing on your legs.",Increase speed for more intensity.,Keep your core engaged and back straight.,Builds leg strength and power.,Dynamic.,Main workout,Power,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back",squat tuck jump,strength,legs,nan,intermediate,"Perform a tuck jump from a squat position, focusing on your legs.",6.0
Decline Bench Dumbbell Lunge,Strength,Legs,Lunge,Intermediate,Dumbbell,"Perform a lunge with a decline bench and dumbbells, focusing on your legs.",Use different weights for variation.,Keep your core engaged and back straight.,Builds leg strength.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Ankle Stabilizers",decline bench dumbbell lunge,strength,legs,dumbbell,intermediate,"Perform a lunge with a decline bench and dumbbells, focusing on your legs.",6.0
Standing Triceps Stretch,Flexibility,Triceps,Stretch,Beginner,,Stretch your triceps while standing to improve flexibility.,Increase stretch time for more intensity.,Keep your core engaged.,Improves triceps flexibility.,Static.,Cool down,Stability,Triceps,,Biceps,"Core, Scapular Stabilizers",standing triceps stretch,flexibility,triceps,nan,beginner,Stretch your triceps while standing to improve flexibility.,3.0
Chest and Front of Shoulder Stretch,Flexibility,Chest,Stretch,Beginner,,Stretch your chest and front of shoulder to improve flexibility.,Increase stretch time for more intensity.,Keep your core engaged.,Improves chest and shoulder flexibility.,Static.,Cool down,Stability,Pectorals,,Latissimus Dorsi,"Core, Scapular Stabilizers",chest and front of shoulder stretch,flexibility,chest,nan,beginner,Stretch your chest and front of shoulder to improve flexibility.,3.0
Forearm Push-up,Strength,Forearms,Push,Intermediate,,"Perform a push-up on your forearms, focusing on your forearm strength.",Increase speed for more intensity.,Keep your core engaged and back straight.,Builds forearm strength.,Controlled.,Main workout,Strength,Forearm Flexors,,Forearm Extensors,"Core, Scapular Stabilizers",forearm push-up,strength,forearms,nan,intermediate,"Perform a push-up on your forearms, focusing on your forearm strength.",6.0
Plate Loaded Seated Row,Strength,Back,Row,Intermediate,Plate Loaded Machine,"Perform a seated row with a plate loaded machine, focusing on your back.",Use different weights for variation.,Keep your core engaged and back straight.,Builds back strength.,Controlled.,Main workout,Strength,Latissimus Dorsi,"Biceps, Forearms",Pectorals,"Core, Scapular Stabilizers",plate loaded seated row,strength,back,plate loaded machine,intermediate,"Perform a seated row with a plate loaded machine, focusing on your back.",6.0
Cable Two Arm Curl on Incline Bench,Strength,Biceps,Curl,Intermediate,Cable Machine,"Perform a two-arm curl with a cable machine on an incline bench, focusing on your biceps.",Use different weights for variation.,Keep your core engaged and back straight.,Builds bicep strength.,Controlled.,Main workout,Strength,Biceps,Brachialis,Triceps,"Core, Scapular Stabilizers",cable two arm curl on incline bench,strength,biceps,cable machine,intermediate,"Perform a two-arm curl with a cable machine on an incline bench, focusing on your biceps.",6.0
Chin Up Around the Bar,Strength,Back,Pull-Up,Advanced,Pull-Up Bar,"Perform a chin-up while moving around the bar, focusing on your back.",Increase speed for more intensity.,Keep your core engaged and back straight.,Builds back strength and coordination.,Dynamic.,Main workout,Strength,Latissimus Dorsi,"Biceps, Forearms",Pectorals,"Core, Scapular Stabilizers",chin up around the bar,strength,back,pull-up bar,advanced,"Perform a chin-up while moving around the bar, focusing on your back.",6.0
Banded Standing Glute Kickback,Strength,Glutes,Kick,Intermediate,Resistance Band,"Perform a glute kickback with a resistance band while standing, focusing on your glutes.",Use different resistance bands for variation.,Keep your core engaged and back straight.,Builds glute strength.,Controlled.,Main workout,Strength,Glutes,Hamstrings,Hip Flexors,"Core, Lower Back",banded standing glute kickback,strength,glutes,resistance band,intermediate,"Perform a glute kickback with a resistance band while standing, focusing on your glutes.",6.0
Banded Seated Hip Abduction,Strength,Hips,Abduction,Intermediate,Resistance Band,"Perform a hip abduction with a resistance band while seated, focusing on your hips.",Use different resistance bands for variation.,Keep your core engaged and back straight.,Builds hip strength.,Controlled.,Main workout,Strength,Gluteus Medius,,Adductors,"Core, Lower Back",banded seated hip abduction,strength,hips,resistance band,intermediate,"Perform a hip abduction with a resistance band while seated, focusing on your hips.",6.0
Banded Single Leg Glute Bridge,Strength,Glutes,Bridge,Intermediate,Resistance Band,"Perform a glute bridge with a resistance band using one leg, focusing on your glutes.",Use different resistance bands for variation.,Keep your core engaged and back straight.,Builds glute strength.,Controlled.,Main workout,Strength,Glutes,Hamstrings,Hip Flexors,"Core, Lower Back",banded single leg glute bridge,strength,glutes,resistance band,intermediate,"Perform a glute bridge with a resistance band using one leg, focusing on your glutes.",6.0
Banded Glute Bridge,Strength,Glutes,Bridge,Intermediate,Resistance Band,"Perform a glute bridge with a resistance band, focusing on your glutes.",Use different resistance bands for variation.,Keep your core engaged and back straight.,Builds glute strength.,Controlled.,Main workout,Strength,Glutes,Hamstrings,Hip Flexors,"Core, Lower Back",banded glute bridge,strength,glutes,resistance band,intermediate,"Perform a glute bridge with a resistance band, focusing on your glutes.",6.0
EZ-Bar Bent Arm Pullover,Strength,Chest,Pullover,Intermediate,EZ-Bar,"Perform a pullover with an EZ-bar, focusing on your chest.",Use different weights for variation.,Keep your core engaged and back straight.,Builds chest strength.,Controlled.,Main workout,Strength,Latissimus Dorsi,Pectorals,,"Core, Scapular Stabilizers",ez-bar bent arm pullover,strength,chest,ez-bar,intermediate,"Perform a pullover with an EZ-bar, focusing on your chest.",6.0
Lateral Leg Swings,Warm-Up,Hips,Swing,Beginner,,Perform lateral leg swings to warm up your hip muscles.,Increase speed for more intensity.,Keep your core engaged and back straight.,Warms up hip muscles.,Dynamic.,Warm-up,Stability,Hip Flexors,,Glutes,"Core, Lower Back",lateral leg swings,warm-up,hips,nan,beginner,Perform lateral leg swings to warm up your hip muscles.,6.0
Elbow Flexion,Strength,Elbows,Flexion,Beginner,,Perform elbow flexion to strengthen your elbow muscles.,Increase speed for more intensity.,Keep your core engaged and back straight.,Builds elbow strength.,Controlled.,Main workout,Strength,Biceps,Brachialis,Triceps,"Core, Scapular Stabilizers",elbow flexion,strength,elbows,nan,beginner,Perform elbow flexion to strengthen your elbow muscles.,6.0
Shoulder External Rotation,Strength,Shoulders,Rotation,Intermediate,Resistance Band,"Perform external rotation with a resistance band, focusing on your shoulders.",Use different resistance bands for variation.,Keep your core engaged and back straight.,Builds shoulder strength.,Controlled.,Main workout,Stability,"Infraspinatus, Teres Minor",Deltoids,Subscapularis,"Core, Scapular Stabilizers",shoulder external rotation,strength,shoulders,resistance band,intermediate,"Perform external rotation with a resistance band, focusing on your shoulders.",6.0
Shoulder Internal Rotation,Strength,Shoulders,Rotation,Intermediate,Resistance Band,"Perform internal rotation with a resistance band, focusing on your shoulders.",Use different resistance bands for variation.,Keep your core engaged and back straight.,Builds shoulder strength.,Controlled.,Main workout,Stability,Subscapularis,Deltoids,"Infraspinatus, Teres Minor","Core, Scapular Stabilizers",shoulder internal rotation,strength,shoulders,resistance band,intermediate,"Perform internal rotation with a resistance band, focusing on your shoulders.",6.0
Lateral Raise with Towel on Wall,Strength,Shoulders,Raise,Intermediate,Towel,"Perform a lateral raise with a towel on the wall, focusing on your shoulders.",Use different resistance for variation.,Keep your core engaged and back straight.,Builds shoulder strength.,Controlled.,Main workout,Strength,Deltoids,,Latissimus Dorsi,"Core, Scapular Stabilizers",lateral raise with towel on wall,strength,shoulders,towel,intermediate,"Perform a lateral raise with a towel on the wall, focusing on your shoulders.",6.0
Alternating Shoulder Flexion,Strength,Shoulders,Flexion,Intermediate,Dumbbell,"Perform shoulder flexion with alternating dumbbells, focusing on your shoulders.",Use different weights for variation.,Keep your core engaged and back straight.,Builds shoulder strength.,Controlled.,Main workout,Strength,Deltoids,,Latissimus Dorsi,"Core, Scapular Stabilizers",alternating shoulder flexion,strength,shoulders,dumbbell,intermediate,"Perform shoulder flexion with alternating dumbbells, focusing on your shoulders.",6.0
Banded Walk,Warm-Up,Legs,Walk,Beginner,Resistance Band,Perform a walk with a resistance band to warm up your leg muscles.,Increase speed for more intensity.,Keep your core engaged and back straight.,Warms up leg muscles.,Dynamic.,Warm-up,Strength,Gluteus Medius,,Adductors,"Core, Lower Back",banded walk,warm-up,legs,resistance band,beginner,Perform a walk with a resistance band to warm up your leg muscles.,6.0
Band Side Lying Clam,Strength,Hips,Clam,Intermediate,Resistance Band,"Perform a clam exercise with a resistance band while lying on your side, focusing on your hips.",Use different resistance bands for variation.,Keep your core engaged and back straight.,Builds hip strength.,Controlled.,Main workout,Strength,Gluteus Medius,,Adductors,"Core, Lower Back",band side lying clam,strength,hips,resistance band,intermediate,"Perform a clam exercise with a resistance band while lying on your side, focusing on your hips.",6.0
Resistance Band Lateral Walk,Strength,Hips,Walk,Intermediate,Resistance Band,"Perform a lateral walk with a resistance band, focusing on your hips.",Use different resistance bands for variation.,Keep your core engaged and back straight.,Builds hip strength.,Controlled.,Main workout,Strength,Gluteus Medius,,Adductors,"Core, Lower Back",resistance band lateral walk,strength,hips,resistance band,intermediate,"Perform a lateral walk with a resistance band, focusing on your hips.",6.0
Banded Glute Kickbacks,Strength,Glutes,Kick,Intermediate,Resistance Band,"Perform glute kickbacks with a resistance band, focusing on your glutes.",Use different resistance bands for variation.,Keep your core engaged and back straight.,Builds glute strength.,Controlled.,Main workout,Strength,Glutes,Hamstrings,Hip Flexors,"Core, Lower Back",banded glute kickbacks,strength,glutes,resistance band,intermediate,"Perform glute kickbacks with a resistance band, focusing on your glutes.",6.0
Banded Donkey Kicks,Strength,Glutes,Kick,Intermediate,Resistance Band,"Perform donkey kicks with a resistance band, focusing on your glutes.",Use different resistance bands for variation.,Keep your core engaged and back straight.,Builds glute strength.,Controlled.,Main workout,Strength,Glutes,Hamstrings,Hip Flexors,"Core, Lower Back",banded donkey kicks,strength,glutes,resistance band,intermediate,"Perform donkey kicks with a resistance band, focusing on your glutes.",6.0
Banded Thigh Fly,Strength,Hips,Fly,Intermediate,Resistance Band,"Perform a thigh fly with a resistance band, focusing on your hips.",Use different resistance bands for variation.,Keep your core engaged and back straight.,Builds hip strength.,Controlled.,Main workout,Strength,Adductors,,Abductors,"Core, Lower Back",banded thigh fly,strength,hips,resistance band,intermediate,"Perform a thigh fly with a resistance band, focusing on your hips.",6.0
Band Side Lying Leg Lift,Strength,Hips,Lift,Intermediate,Resistance Band,"Perform a leg lift with a resistance band while lying on your side, focusing on your hips.",Use different resistance bands for variation.,Keep your core engaged and back straight.,Builds hip strength.,Controlled.,Main workout,Strength,Gluteus Medius,,Adductors,"Core, Lower Back",band side lying leg lift,strength,hips,resistance band,intermediate,"Perform a leg lift with a resistance band while lying on your side, focusing on your hips.",6.0
Banded Fire Hydrant,Strength,Hips,Lift,Intermediate,Resistance Band,"Perform a fire hydrant exercise with a resistance band, focusing on your hips.",Use different resistance bands for variation.,Keep your core engaged and back straight.,Builds hip strength.,Controlled.,Main workout,Strength,Gluteus Medius,,Adductors,"Core, Lower Back",banded fire hydrant,strength,hips,resistance band,intermediate,"Perform a fire hydrant exercise with a resistance band, focusing on your hips.",6.0
Cable Pulldown Biceps Curl,Strength,Biceps,Curl,Intermediate,Cable Machine,"Perform a biceps curl with a cable machine, focusing on your biceps.",Use different weights for variation.,Keep your core engaged and back straight.,Builds bicep strength.,Controlled.,Main workout,Strength,Biceps,Latissimus Dorsi,Triceps,"Core, Scapular Stabilizers",cable pulldown biceps curl,strength,biceps,cable machine,intermediate,"Perform a biceps curl with a cable machine, focusing on your biceps.",6.0
Kneeling Jump Squat,Strength,Legs,Jump,Intermediate,,"Perform a jump squat from a kneeling position, focusing on your legs.",Increase speed for more intensity.,Keep your core engaged and back straight.,Builds leg strength and power.,Dynamic.,Main workout,Power,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back",kneeling jump squat,strength,legs,nan,intermediate,"Perform a jump squat from a kneeling position, focusing on your legs.",6.0
Banded Split Squat,Strength,Legs,Squat,Intermediate,Resistance Band,"Perform a split squat with a resistance band, focusing on your legs.",Use different resistance bands for variation.,Keep your core engaged and back straight.,Builds leg strength.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Ankle Stabilizers",banded split squat,strength,legs,resistance band,intermediate,"Perform a split squat with a resistance band, focusing on your legs.",6.0
Banded Kettlebell Goblet Squat,Strength,Legs,Squat,Intermediate,"Resistance Band, Kettlebell","Perform a goblet squat with a resistance band and kettlebell, focusing on your legs.",Use different weights for variation.,Keep your core engaged and back straight.,Builds leg strength.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back",banded kettlebell goblet squat,strength,legs,"resistance band, kettlebell",intermediate,"Perform a goblet squat with a resistance band and kettlebell, focusing on your legs.",6.0
Banded Lunge,Strength,Legs,Lunge,Intermediate,Resistance Band,"Perform a lunge with a resistance band, focusing on your legs.",Use different resistance bands for variation.,Keep your core engaged and back straight.,Builds leg strength.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Ankle Stabilizers",banded lunge,strength,legs,resistance band,intermediate,"Perform a lunge with a resistance band, focusing on your legs.",6.0
Banded Leg Curl,Strength,Hamstrings,Curl,Intermediate,Resistance Band,"Perform a leg curl with a resistance band, focusing on your hamstrings.",Use different resistance bands for variation.,Keep your core engaged and back straight.,Builds hamstring strength.,Controlled.,Main workout,Strength,Hamstrings,Glutes,Quadriceps,"Core, Lower Back",banded leg curl,strength,hamstrings,resistance band,intermediate,"Perform a leg curl with a resistance band, focusing on your hamstrings.",6.0
Standing Single Leg Curl Machine,Strength,Hamstrings,Curl,Intermediate,Curl Machine,"Perform a single leg curl with a curl machine while standing, focusing on your hamstrings.",Use different weights for variation.,Keep your core engaged and back straight.,Builds hamstring strength.,Controlled.,Main workout,Strength,Hamstrings,Glutes,Quadriceps,"Core, Lower Back",standing single leg curl machine,strength,hamstrings,curl machine,intermediate,"Perform a single leg curl with a curl machine while standing, focusing on your hamstrings.",6.0
